time,binding_all_after,curtail_cause,curtailed_total_mw,margin_after,residual_class,viol_L1,viol_L2,viol_L3,viol_L4,worst_corridor_pct,worst_dso_trafo_pct,worst_plant_pct,pcc_p_mw,available_total_mw
2024-01-05 14:15:00+00:00,L2:SUB_B=0.0003837,none,0.0,0.0,none,0,1,0,0,72.4745906425428,56.27214492738084,83.2029334868022,202.0127154233183,248.4157
2024-01-05 14:30:00+00:00,L2:SUB_B=0.0003826,none,0.0,0.0,none,0,1,0,0,73.16972317997384,56.2721369042147,83.20257180554108,202.00791319987357,248.41049999999998
2024-01-05 14:45:00+00:00,L2:SUB_B=0.0003814,none,0.0,0.0,none,0,1,0,0,71.728125073691,56.27212873165259,83.2022032014599,202.00301859705945,248.40519999999998
2024-01-05 15:00:00+00:00,L2:SUB_B=0.0003803,none,0.0,0.0,none,0,1,0,0,70.26563386660618,56.27212071808575,83.20184158413977,201.99821631685822,248.39999999999998
2024-01-05 15:30:00+00:00,L2:SUB_B=0.003731,none,0.0,0.0,none,0,1,0,0,67.70105088175738,56.593306222984516,83.85387617357436,142.01491849843765,248.39999999999998
2024-01-05 16:00:00+00:00,L2:SUB_B=0.003731,none,0.0,0.0,none,0,1,0,0,64.9521815055343,56.59330622297772,83.85387617357311,142.01491849844234,248.39999999999998
2024-01-05 16:15:00+00:00,L2:SUB_B=0.003731,none,0.0,0.0,none,0,1,0,0,64.06782474684131,56.59330622297861,83.85387617357318,142.01491849844615,248.39999999999998
2024-01-05 16:30:00+00:00,L2:SUB_B=0.003731,none,0.0,0.0,none,0,1,0,0,63.20801620371977,56.59330622297303,83.8538761735711,142.01491849844376,248.39999999999998
2024-01-05 16:45:00+00:00,L2:SUB_B=0.003649,none,0.0,0.0,none,0,1,0,0,62.28510815374998,56.59060722149132,83.82452875809693,141.706027883153,248.0581
2024-01-05 17:00:00+00:00,L2:SUB_B=0.00346,none,0.0,0.0,none,0,1,0,0,61.290351865361764,56.58434531977669,83.7561613536668,141.0268837065108,247.3048
2024-01-09 16:45:00+00:00,L2:SUB_B=9.63e-05,none,0.0,0.0,none,0,1,0,0,58.90272996954575,56.4682061228789,82.59856211343488,129.1943971620628,234.1808
2024-01-09 21:15:00+00:00,L2:SUB_B=1.619e-05,none,0.0,0.0,none,0,1,0,0,63.36732863496118,56.25940144311391,83.07982538583047,200.88025928282798,247.15980000000002
2024-01-09 22:00:00+00:00,L2:SUB_B=7.067e-05,none,0.0,0.0,none,0,1,0,0,64.30356261920099,56.26130402225116,83.09806296196257,201.04428436288288,247.3419
2024-01-09 22:15:00+00:00,L2:SUB_B=0.001681,none,0.0,0.0,none,0,1,0,0,57.03761786671529,56.52486900425933,83.14941674672414,134.73871116578377,240.3191
2024-01-09 22:45:00+00:00,L2:SUB_B=0.0005951,none,0.0,0.0,none,0,1,0,0,62.52988994763896,56.48611828514909,82.75128542608202,131.01128773589969,236.1905
